,pre,soil
2001,0.4551304,0.9964879
2002,0.4619669,0.99580514
2003,0.4995016,0.9956329
2004,0.4770678,0.99618876
2005,0.50678086,0.9953758
2006,0.42264232,0.99787134
2007,0.47180325,0.9970989
2008,0.5275883,0.9962279
2009,0.48524073,0.998527
2010,0.5073677,0.9985951
2011,0.5096662,0.9957001
2012,0.4979089,0.995142
2013,0.46852246,0.99766964
2014,0.49891046,0.9968453
2015,0.41040102,0.9968191
2016,0.49549088,0.9993731
2017,0.508574,0.9982576
2018,0.5430134,0.99931586
2019,0.5110704,0.9960864
2020,0.63984096,0.997755
2021,0.5543172,0.99917746
2022,0.4842519,1.0002381
2023,0.48850474,0.9989686
2024,0.32967365,1.0007573
