,out_eos,out_pos,out_sos,log
2001,268.89722,212.30276,162.0953,107.14228
2002,262.4901,209.11832,154.0299,108.87774
2003,268.27942,210.89697,158.3526,110.30382
2004,265.98044,211.0047,153.53833,112.96986
2005,269.3762,212.89636,157.13193,112.76706
2006,263.48242,204.81573,148.86783,115.129776
2007,267.25302,210.83652,152.8309,114.778564
2008,264.4024,207.24545,147.11658,117.85074
2009,264.44885,207.86095,149.97325,114.88217
2010,266.30594,212.40834,158.7637,107.88799
2011,266.50653,209.19197,151.87326,115.03777
2012,270.39172,209.76555,155.01309,115.81605
2013,259.6388,202.97163,147.09718,113.03629
2014,266.34586,211.96829,155.44221,111.30842
2015,273.19278,206.03865,146.7384,126.79303
2016,264.1631,209.78667,157.74039,106.72071
2017,268.03842,210.24644,155.44891,112.89686
2018,264.86197,209.73845,153.1776,112.14811
2019,273.14822,210.28049,147.69214,126.01743
2020,277.14612,210.63902,150.98866,126.57527
2021,263.83072,205.74356,151.62767,112.62491
2022,267.96722,206.2864,141.76903,127.26725
2023,269.65588,214.95992,157.39009,112.705086
2024,267.75092,205.06682,149.65884,118.57207
